file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,46,css,1df1e3d9,gabrielborjas,2026-04-10,15:02:56,-07:00,2026-04-10T15:02:56-07:00,0,0
style.css,47,css,1df1e3d9,gabrielborjas,2026-04-10,15:02:56,-07:00,2026-04-10T15:02:56-07:00,0,0
style.css,48,css,3d7f7dfe,gabrielborjas,2026-04-10,15:13:15,-07:00,2026-04-10T15:13:15-07:00,0,4
style.css,49,css,3d7f7dfe,gabrielborjas,2026-04-10,15:13:15,-07:00,2026-04-10T15:13:15-07:00,1,12
style.css,50,css,3d7f7dfe,gabrielborjas,2026-04-10,15:13:15,-07:00,2026-04-10T15:13:15-07:00,1,30
style.css,51,css,3d7f7dfe,gabrielborjas,2026-04-10,15:13:15,-07:00,2026-04-10T15:13:15-07:00,1,7
style.css,52,css,1df1e3d9,gabrielborjas,2026-04-10,15:02:56,-07:00,2026-04-10T15:02:56-07:00,0,0
style.css,53,css,1df1e3d9,gabrielborjas,2026-04-10,15:02:56,-07:00,2026-04-10T15:02:56-07:00,0,0
style.css,54,css,3d7f7dfe,gabrielborjas,2026-04-10,15:13:15,-07:00,2026-04-10T15:13:15-07:00,0,5
style.css,55,css,3d7f7dfe,gabrielborjas,2026-04-10,15:13:15,-07:00,2026-04-10T15:13:15-07:00,1,12
style.css,56,css,3d7f7dfe,gabrielborjas,2026-04-10,15:13:15,-07:00,2026-04-10T15:13:15-07:00,1,29
style.css,57,css,3d7f7dfe,gabrielborjas,2026-04-10,15:13:15,-07:00,2026-04-10T15:13:15-07:00,1,18
style.css,58,css,3d7f7dfe,gabrielborjas,2026-04-10,15:13:15,-07:00,2026-04-10T15:13:15-07:00,0,0
style.css,59,css,3d7f7dfe,gabrielborjas,2026-04-10,15:13:15,-07:00,2026-04-10T15:13:15-07:00,0,0
style.css,60,css,3d7f7dfe,gabrielborjas,2026-04-10,15:13:15,-07:00,2026-04-10T15:13:15-07:00,0,6
style.css,61,css,3d7f7dfe,gabrielborjas,2026-04-10,15:13:15,-07:00,2026-04-10T15:13:15-07:00,1,18
style.css,62,css,01d43ff6,gabrielborjas,2026-04-10,15:57:48,-07:00,2026-04-10T15:57:48-07:00,0,0
style.css,63,css,01d43ff6,gabrielborjas,2026-04-10,15:57:48,-07:00,2026-04-10T15:57:48-07:00,0,0
style.css,64,css,f7f07fd2,gabrielborjas,2026-04-10,16:04:13,-07:00,2026-04-10T16:04:13-07:00,0,9
style.css,65,css,01d43ff6,gabrielborjas,2026-04-10,15:57:48,-07:00,2026-04-10T15:57:48-07:00,1,12
style.css,66,css,01d43ff6,gabrielborjas,2026-04-10,15:57:48,-07:00,2026-04-10T15:57:48-07:00,1,58
style.css,67,css,01d43ff6,gabrielborjas,2026-04-10,15:57:48,-07:00,2026-04-10T15:57:48-07:00,1,7
style.css,68,css,30df0b32,gabrielborjas,2026-04-10,16:17:30,-07:00,2026-04-10T16:17:30-07:00,0,0
style.css,69,css,30df0b32,gabrielborjas,2026-04-10,16:17:30,-07:00,2026-04-10T16:17:30-07:00,0,0
style.css,70,css,30df0b32,gabrielborjas,2026-04-10,16:17:30,-07:00,2026-04-10T16:17:30-07:00,0,17
style.css,71,css,30df0b32,gabrielborjas,2026-04-10,16:17:30,-07:00,2026-04-10T16:17:30-07:00,1,12
style.css,72,css,30df0b32,gabrielborjas,2026-04-10,16:17:30,-07:00,2026-04-10T16:17:30-07:00,1,26
style.css,73,css,30df0b32,gabrielborjas,2026-04-10,16:17:30,-07:00,2026-04-10T16:17:30-07:00,1,15
style.css,74,css,30df0b32,gabrielborjas,2026-04-10,16:17:30,-07:00,2026-04-10T16:17:30-07:00,1,7
style.css,75,css,30df0b32,gabrielborjas,2026-04-10,16:17:30,-07:00,2026-04-10T16:17:30-07:00,0,0
style.css,76,css,30df0b32,gabrielborjas,2026-04-10,16:17:30,-07:00,2026-04-10T16:17:30-07:00,0,0
style.css,77,css,30df0b32,gabrielborjas,2026-04-10,16:17:30,-07:00,2026-04-10T16:17:30-07:00,0,19
style.css,78,css,30df0b32,gabrielborjas,2026-04-10,16:17:30,-07:00,2026-04-10T16:17:30-07:00,1,8
style.css,79,css,218c76c2,gabrielborjas,2026-04-10,16:58:30,-07:00,2026-04-10T16:58:30-07:00,0,0
style.css,80,css,218c76c2,gabrielborjas,2026-04-10,16:58:30,-07:00,2026-04-10T16:58:30-07:00,0,0
style.css,81,css,218c76c2,gabrielborjas,2026-04-10,16:58:30,-07:00,2026-04-10T16:58:30-07:00,0,2
style.css,82,css,218c76c2,gabrielborjas,2026-04-10,16:58:30,-07:00,2026-04-10T16:58:30-07:00,1,14
style.css,83,css,218c76c2,gabrielborjas,2026-04-10,16:58:30,-07:00,2026-04-10T16:58:30-07:00,0,0
style.css,84,css,218c76c2,gabrielborjas,2026-04-10,16:58:30,-07:00,2026-04-10T16:58:30-07:00,1,21
style.css,85,css,218c76c2,gabrielborjas,2026-04-10,16:58:30,-07:00,2026-04-10T16:58:30-07:00,2,15
style.css,86,css,218c76c2,gabrielborjas,2026-04-10,16:58:30,-07:00,2026-04-10T16:58:30-07:00,2,17
style.css,87,css,218c76c2,gabrielborjas,2026-04-10,16:58:30,-07:00,2026-04-10T16:58:30-07:00,1,0
style.css,88,css,f62a771a,gabrielborjas,2026-04-10,20:38:18,-07:00,2026-04-10T20:38:18-07:00,0,0
style.css,89,css,f62a771a,gabrielborjas,2026-04-10,20:38:18,-07:00,2026-04-10T20:38:18-07:00,0,0
style.css,90,css,f62a771a,gabrielborjas,2026-04-10,20:38:18,-07:00,2026-04-10T20:38:18-07:00,0,6
style.css,91,css,f62a771a,gabrielborjas,2026-04-10,20:38:18,-07:00,2026-04-10T20:38:18-07:00,1,41
style.css,92,css,f62a771a,gabrielborjas,2026-04-10,20:38:18,-07:00,2026-04-10T20:38:18-07:00,1,16
style.css,93,css,f62a771a,gabrielborjas,2026-04-10,20:38:18,-07:00,2026-04-10T20:38:18-07:00,1,18
style.css,94,css,f62a771a,gabrielborjas,2026-04-10,20:38:18,-07:00,2026-04-10T20:38:18-07:00,0,0
style.css,95,css,f62a771a,gabrielborjas,2026-04-10,20:38:18,-07:00,2026-04-10T20:38:18-07:00,0,0
style.css,96,css,f62a771a,gabrielborjas,2026-04-10,20:38:18,-07:00,2026-04-10T20:38:18-07:00,0,9
style.css,97,css,f62a771a,gabrielborjas,2026-04-10,20:38:18,-07:00,2026-04-10T20:38:18-07:00,1,43
style.css,98,css,f62a771a,gabrielborjas,2026-04-10,20:38:18,-07:00,2026-04-10T20:38:18-07:00,1,20
style.css,99,css,d47f323e,gabrielborjas,2026-04-10,20:43:41,-07:00,2026-04-10T20:43:41-07:00,0,0
style.css,100,css,d47f323e,gabrielborjas,2026-04-10,20:43:41,-07:00,2026-04-10T20:43:41-07:00,0,0
style.css,101,css,d47f323e,gabrielborjas,2026-04-10,20:43:41,-07:00,2026-04-10T20:43:41-07:00,0,10
style.css,102,css,d47f323e,gabrielborjas,2026-04-10,20:43:41,-07:00,2026-04-10T20:43:41-07:00,1,17
style.css,103,css,d47f323e,gabrielborjas,2026-04-10,20:43:41,-07:00,2026-04-10T20:43:41-07:00,0,0
style.css,104,css,7b50c873,gabrielborjas,2026-04-10,21:07:42,-07:00,2026-04-10T21:07:42-07:00,0,0
style.css,105,css,7b50c873,gabrielborjas,2026-04-10,21:07:42,-07:00,2026-04-10T21:07:42-07:00,0,8
style.css,106,css,7b50c873,gabrielborjas,2026-04-10,21:07:42,-07:00,2026-04-10T21:07:42-07:00,1,15
style.css,107,css,7b50c873,gabrielborjas,2026-04-10,21:07:42,-07:00,2026-04-10T21:07:42-07:00,1,9
style.css,108,css,7b50c873,gabrielborjas,2026-04-10,21:07:42,-07:00,2026-04-10T21:07:42-07:00,1,12
style.css,109,css,7b50c873,gabrielborjas,2026-04-10,21:07:42,-07:00,2026-04-10T21:07:42-07:00,1,14
style.css,110,css,7b50c873,gabrielborjas,2026-04-10,21:07:42,-07:00,2026-04-10T21:07:42-07:00,1,9
style.css,111,css,7b50c873,gabrielborjas,2026-04-10,21:07:42,-07:00,2026-04-10T21:07:42-07:00,0,0
style.css,112,css,7b50c873,gabrielborjas,2026-04-10,21:07:42,-07:00,2026-04-10T21:07:42-07:00,0,0
style.css,113,css,7b50c873,gabrielborjas,2026-04-10,21:07:42,-07:00,2026-04-10T21:07:42-07:00,0,12
style.css,114,css,7b50c873,gabrielborjas,2026-04-10,21:07:42,-07:00,2026-04-10T21:07:42-07:00,1,36
style.css,115,css,7b50c873,gabrielborjas,2026-04-10,21:07:42,-07:00,2026-04-10T21:07:42-07:00,1,11
style.css,116,css,7b50c873,gabrielborjas,2026-04-10,21:07:42,-07:00,2026-04-10T21:07:42-07:00,1,19
style.css,117,css,7b50c873,gabrielborjas,2026-04-10,21:07:42,-07:00,2026-04-10T21:07:42-07:00,1,19
style.css,118,css,7b50c873,gabrielborjas,2026-04-10,21:07:42,-07:00,2026-04-10T21:07:42-07:00,1,15
